TEST NAME,PRICE IN RUPEES
Anti-MOG (MYELIN OLIGODENDROCYTE GLYCOPROTEIN) ANTIBODY,9600
ANTI PHOSPHOLIPID ANTIBODY - IgG,7320
CULTURE AND SENSITIVITY - WOUND SWAB,600
ANTIBODY TO SSB/La,5520
ANTI HBc TOTAL,1560
CORTICOSTERONE,912
"ALUMINIUM, SERUM",4200
ANTI HEV - IgG,3060
AMPHETAMINES CONFIRMATION,1080
BIOAVAILABLE TESTOSTERONE,2640
"ANTI NMO (NEUROMYELITIS OPTICA) PANEL, SERUM",9600
ALPHA AMINO NITROGEN - AAN,2760
ARSENIC BLOOD,6120
ACETOACETATE,960
ALDEHYDE CHOPRA TEST FOR KALA AZAR,576
ACETYL CHOLINE RECEPTOR BINDING ANTIBODY,5880
ANTI CARDIOLIPIN ANTIBODY - IgG,1476
24 Hrs URINE CALCIUM,280
ACTIVATED PROTEIN C RESISTANCE-APC-R,7200
"5-HYDROXY INDOLEACETIC ACID (5-HIAA), 24-HOUR URINE",4200
24 Hrs URINE PHOSPHORUS,180
17-HYDROXYPROGESTRONE,1800
PHENOLSULFONPHTHALEIN,1080
AMYLASE - BODY FLUID,492
"LEGIONELLA ANTIGEN, URINE",4200
"MANGANESE, RANDOM",1200
MRI -  EXTREMITIES WITHOUT CONTRAST,9600
MUCOPOLYSACCHARIDOSIS (MPS) TYPE 1 (HURLER),600
"OPIATES SCREEN, URINE",4080
24 Hrs URINE PROTEIN,500
ACTIVATED PARTIAL THROMPOPLASTIN TIME - APTT,360
"ALCOHOL, ETHYL GLUCURONIDE (ETG) QUANTITATIVE ASSAY",6000
LEUCOCYTE ADHESION DEFICIENCY (LAD I and II),5160
H.PYLORI - IgM,2448
MRI - HAND (RIGHT / LEFT),6000
MRI -  LUMBO SACRAL SPINE,6000
"METACHROMATIC LEUCODYSTROPHY, QUANTITATIVE",5880
24 Hrs URINE MICROALBUMINURIA,1980
NMDA RECEPTOR / ANTI-GLUTAMATE ANTIBODY,12840
MENORRHAGIA SCREEN,8400
LACTIC ACID,1440
"PROTEIN S, (FREE) ANTIGEN",7440
"HEPATITIS C VIRAL (HCV RNA) QUANTITATIVE, REAL TIME PCR",6732
MALARIAL PARASITE,300
ERYTHROPOIETIN,4200
INSULIN - PP,960
5-ALPHA-DIHYDROTESTOSTERONE,7200
INSULIN ANTIBODY,3060
IMMUNE DEFICIENCY PANEL,2760
MRI - HIP JOINT / BONY PELVIS,6000
HLA- PANEL REACTIVE IgG ANTIBODIES - SCREEN,7080
ENDOMETRIOSIS PANEL,1800
GRIN2A,24000
X-RAY - WRIST JOINT AP / LAT VIEW,500
"HEPATITIS B CORE ANTIBODY (Anti- HBc), TOTAL",1800
"CORTISONE, SERUM",912
MRI SCAN - LEFT  WRIST,6000
FRUCTOSAMINE,1476
HIV I RNA QUANTITATIVE PCR,6120
MRI - BRAIN WITH CERVICAL SPINE SCREENING,9600
HEPATITIS Be ANTIGEN (HBeAg),1320
EPISODIC ATAXIA TYPE 2,24000
OXYGEN CONSUMPTION,2880
X-RAY - KNEE A.P AND LATERAL,500
EEG,1800
COMPLETE URINE EXAMINATION,180
GROUP A STREPTOCOCCAL ANTIGEN,1920
"THALLIUM, 24-HOUR URINE",6120
"LEAD, 24-HOUR URINE",3672
"CULTURE, GONOCOCCUS",1680
GENTAMICIN,3600
LUPUS ANTICOAGULANT BY DRVVT,2400
CT - THIGH,4800
DOPAMINE - BLOOD,4920
CA 15.3,1440
CT - LEFT HIP,4800
"THALLIUM, RANDOM URINE",6900
MRI - BRAIN  IC,6000
X-RAY - MASTOID,350
VGKC (VOLTAGE GATED POTASSIUM CHANNEL) ANTIBODIES,10200
THYROXINE BINDING GLOBULIN - TBG,8568
LEBERS HEREDITARY OPTIC NEUROPATHY - LHON,30000
MRI - JOINT SCREENING,6000
GALACTOSEMIA NEWBORN SCREEN,600
RED BLOOD CELL FOLATE - RCF,180
X-RAY - ANKLE LATERAL VIEW,350
INHIBIN B,16800
X-RAY - HEEL LATERAL VIEW,350
ULTRA SENSITIVE INSULIN - FASTING,1320
LEPTOSPIRA - IgM,1920
CT - PELVIS WITH CONTRAST,6600
PROGESTERONE,1080
MRI - HEAD WITHOUT CONTRAST,6000
INSULIN FASTING,960
"BONE MARROW, IRON STAIN",2160
HERPES SIMPLEX VIRUS 1&2 - IgG,2160
CULTURE AND SENSITIVITY - TISSUE,600
CHYLE EXAMINATION,840
"UREA NITROGEN, RANDOM URINE",180
VASCULITIS PANEL,7800
ISLET CELL ANTIBODY,3240
"POTASSIUM, RANDOM",360
"HEPATITIS B VIRAL (HBV DNA) QUANTITATIVE, REAL TIME PCR",6960
MRI - HIP SCREENING,6000
MRI - BRAIN  WITH INNER EAR,7200
HDL CHOLESTEROL - DIRECT,180
CULTURE GROUP B STREPTOCOCCUS - GBS,2160
"HERPES SIMPLEX VIRUS (HSV) TYPE 1, PCR, QUALITATIVE",6960
HSV  II - IgM,3000
URINE SODIUM - SPOT,480
SSA/Ro ANTIBODY SERUM,2160
OSMOLALITY - URINE,984
SYPHILIS SEROLOGY,1860
MRI - CERVICAL SPINE WITH BRAIN SCREENING,9600
U1RNP ANTIBODIES SERUM,6000
MRI - LUMBAR SPINE,6000
GLOBULIN,180
AFB - SPUTUM (3 DAYS),540
TRANSFERRIN SATURATION,864
HEMOGLOBINOPATHY NEWBORN SCREEN,6000
HEPATITIS Be ANTIBODY (Anti-HBe),1500
UREA CLEARANCE,720
"ENDOMYSIAL ANTIBODY, IgA, IFA",2880
TOTAL THYROXINE - T4,300
CT - SPINE WITHOUT CONTRAST,6600
"RHEUMATOID FACTOR (RA), SYNOVIAL FLUID",960
AFB - SPUTUM,540
CT - LEFT KNEE,4800
NT-proBNP,3800
"ENTAMOEBA ANTIGEN TEST , RAPID, STOOL",1080
MRI - KNEE SINGLE JOINT WITH CONTRAST,9600
"CHIKUNGUNYA VIRUS, PCR QUALITATIVE",5760
HEMOGLOBIN FRACTIONATION,1680
HISTAMINE EXCRETION,7320
"HEPATITIS B VIRAL (HBV DNA), QUANTITATIVE REAL TIME PCR, ULTRA",6960
TRANSFERRIN,1560
TB - IgG,3000
"HELICOBACTER PYLORI, IgG",2880
CT - CHEST WITH CONTRAST (FOR LUNGS),6600
Scl-70 (SCLERODERMA ) ANTIBODY SERUM,1560
TOTAL PROTEIN S ANTIGEN,8520
"CULTURE, STOOL",1920
X-RAY - LUMBOSACREL SPINE LAT VIEW,350
CT - HEAD WITHOUT CONTRAST,4800
LIVER KIDNEY MICROSOMAL (LKM) ANTIBODY,3360
"METANEPHRINES, FRACTIONATED - BLOOD",9840
"SIROLIMUS, WHOLE BLOOD",7920
HERPES SIMPLEX VIRUS (HSV) 1 IgM,1800
X-RAY - BOTH HEEL LAT,500
MRI - ARM / HUMERUS,6000
VARICELLA ZOSTER ANTIBODY - IgM,3060
HLA - B27,3960
"CULTURED AFB ANTITUBERCULAR DST, 15 DRUGS PANEL",26400
STEROID PANEL FOR CONGENITAL ADRENAL HYPERPLASIA (CAH),24600
"LEISHMANIA ( KALA AZAR) ANTIBODY, IgG,SERUM",2640
FECAL POTASSIUM,3960
"CULTURE, NOCARDIA",1740
"PROTEIN TOTAL, BODY",300
VENOUS BLOOD GAS STUDIES-VBGS,2280
SPERM DENSITY,3120
"HEINZ BODIES, PERIPHERAL BLOOD",492
THYROGLOBULIN,2460
ULTRASONOGRAM - FOLLICULAR STUDY,2400
HCV COMBO (RT PCR) TEST HCV QNT RT PCR  HCV GENOTYPE,7200
VALPROIC ACID,1320
TROPONIN - I QUANTITATIVE,2160
PERIPHERAL SMEAR STUDY,360
CORTISOL 4PM,700
"CULTURE, FUNGUS, BLOOD ,BODY FLUIDS RAPID",4284
GALACTOSE QUANTITATIVE PLASMA,2280
Jo-1 ANTIBODY SERUM,2820
IONISED CALCIUM,900
MRI - LEG ( RIGHT / LEFT),6000
CT - LEFT FOOT,4800
BRUCELLA AGGLUTINATION TEST,4284
sdLDL - CHOLESTEROL,380
"CHLAMYDIA TRACHOMATIS, PCR",8520
"SEROTONIN, RANDOM URINE",10800
GERM CELL TUMOR PANEL,30000
SUGAR - CSF,420
DELTA-AMINOLEVULINIC ACID,9600
HEPATITIS B SURFACE ANTIGEN HBsAg,660
"STOOL EXAMINATION, ROUTINE, STOOL, R/E",240
CREATININE RANDOM URINE,240
LUTEINIZING HORMONE - LH,600
TREPONEMA PALLIDUM HEMAGGLUTINATION-TPHA,1200
RAPID TB ANTIGEN,3300
MRI - LEFT HIP JOINT,6000
CT - NECK WITH CHEST,6600
PHENYTOIN,1440
"URINE, REDUCING SUBSTANCES",240
LDH ASCITIC FLUID,612
CHIKUNGUNYA - IgG,1440
H.PYLORI ANTIGEN DETECTION - STOOL,2640
SPHINGOLIPIDOSIS PANEL,14400
GRAM STAIN - SMEAR,360
GLUTAMIC ACID DECARBOXYLASE- 65 IgG,9060
OCCULT  BLOOD - STOOL,180
"CHLORIDE, RANDOM URINE",360
"ERYTHROPOIETIN, EPO",4200
BMD - WHOLE BODY STUDY,6000
NEURON SPECIFIC ENOLASE,5400
CHIKUNGUNYA  - IgM,1440
CERULOPLASMIN - SERUM,1560
"HEPATITIS DELTA ANTIBODY (HDV), IgM",3360
IMMUNOGLOBULIN G - IgG,1020
Sm (SMITH) ANTIBODY IgG SERUM,2100
THEOPHYLLINE,1320
HEPATIC IRON INDEX,1320
ANTI SMOOTH MUSCLE ANTIBODIES - ASMA,3900
CT - KUB,4800
FILARIA ANTIBODY IGM,1440
PROTEIN C ACTIVITY,6660
CT - BRAIN,3000
SKIN SCRAPING FOR FUNGUS,2400
CA-125,1560
METANEPHRINE - BLOOD,4896
EVEROLIMUS,29100
"HUMAN PAPILLOMA VIRUS, REAL TIME PCR",7200
"SILVER, SERUM",8400
CT - AORTOGRAM,5400
c-ANCA SERIN PROTEINASE 3 (PR-3) ANTIBODIES,2520
PROTEIN - PLEURAL FLUID,3601.2
T3 RESIN UPTAKE,660
"LEAD, BLOOD",2700
HCV RNA QUALITATIVE,6000
