TEST NAME,PRICE IN RUPEES
HEPATITIS B VIRUS (HBV DNA) GENOTYPE AND DRUG RESISTANCE,4896
"CREATININE, 24-HOUR URINE",744
CULTURE HELICOBACTER PYLORI,4200
"GROWTH DISORDER PANEL, SERUM",21600
"CULTURED AFB ANTITUBERCULAR DST, LEVOFLOXACIN",3360
MRI - PITUITARY GLAND WITHOUT CONTRAST,6000
CT - BRAIN WITH DWI,6600
"BORDETELLA PERTUSSIS ANTIBODY, IgG",3432
HbA1c,500
HAEMATOLOGY II,3000
CT - JOINTS,4800
MENOPAUSE SCREENING PANEL,3000
"COPPER, 24-HOUR URINE",2880
BIOPSY LARGE - 2,2000
"CLOSTRIDIUM DIFFICILE DETECTION, PCR",8700
CT - BRAIN WITH PNS,7200
GALACTOMANNAN (ASPERGILLUS ANTIGEN) SERUM,7200
"FACTOR XIII, B SUBUNIT",2400
LDH,600
CULTURE AND SENSITIVITY - EAR SWAB,500
CT - NECK WITH CONTRAST,6600
ADENOVIRUS ANTIGEN FOR RESPIRATORY INFECTIONS,14400
X-RAY - LEG LAT VIEW,350
"ENDOMYSIAL ANTIBODY, IgA, IFA IN DILUTIONS",5232
CT HEAD WITH CONTRAST,6600
HISTONE ANTIBODIES,3600
"BACTERIAL VAGINOSIS (BV) TEST ,RAPID, VAGINAL SWAB",648
D-XYLOSE ABSORPTION,1440
"HCG BETA, TOTAL, TUMOR MARKER",1560
CHROMOGRANIN A,18240
CREATININE FLUID,316
CT - WHOLE ABDOMEN WITHOUT CONTRAST,6600
CT - UROGRAM  ( CONTRAST),6600
ANGIOTENSIN CONVERTING ENZYME,3300
LEUKOCYTE COUNT - BLOOD,150
HOMOCYSTEINE,1050
CT - PERIPHERAL ANGIO WITH CONTRAST,6600
BETA2 MICROGLOBULIN - FLUID,3060
X-RAY - BOTH KNEE ( SKYLINE ),500
FREE T4,350
DOPPLER STUDY - SINGLE UPPER LIMB VENOUS,2200
IMMUNOGLOBULIN IgG SYNTHESIS INDEX AND RATE,4200
ALBERT STAIN,720
CALCITONIN,4284
X-RAY - ELBOW AP VIEW,350
"CHROMOGRANIN A,CGA",11400
ANTIHISTONE ANTBODIES,2700
BLOOD GLUCOSE - PP 2 Hrs,50
CT - BRAIN WITH FACIAL BONES,9600
"H1N1 (SWINE FLU) QUALITATIVE, REAL TIME PCR",4200
"CRYPTOSPORIDIUM ANITGEN, STOOL",540
"STOOL EXAMINATION, HANGING DROP PREPARATION",450
HEAVY METAL SCREE,2400
24 Hrs URINE CHLORIDE,492
"AMINO ACID NON KETOTIC HYPERGLYCINEMIA PANEL QUANTITATIVE, CSF - PLASMA",10800
"VGKC (VOLTAGE GATED POTASSIUM CHANNEL) ANTIBODY, CSF",12000
"C-PEPTIDE, 24-HOUR URINE",1260
"CHIKUNGUNYA VIRUS ANTIBODY, IgM",1500
VARICELLA ZOSTER ANTIBODY - IgG,3060
"SELENIUM, SERUM",10200
C-REACTIVE PROTEIN (High Sensitivity),1060
CLOT RETRACTION TEST,840
CYSTATIN C LEVEL,2448
IMMUNOGLOBULIN A - IgA,1200
ACETYL CHOLINE RECEPTOR ANTIBODY,5004
ASCORBIC  ACID (VITAMIN C),4896
CULTURE AND SENSITIVITY - AIR CULTURE,500
X-RAY - CERVICAL SPINE LATERAL VIEW,350
COMPLEMENT COMPONENTS,1860
URINE SUGAR - FASTING,50
G6 PDH,1200
"UREA NITROGEN, 24-HOUR URINE",420
17-KETOSTEROIDS 24 HOUR URINE,12000
TOTAL TRIIODOTHYRONINE - T3,420
DENGUE NS1 ANTIGEN - ELISA,1140
ADENOSINE DEAMINASE - ADA PLEURAL FLUID,1164
"C-PEPTIDE STIMULATION BY GLUCAGON, SERUM",7200
"HEPATITIS E ANTIBODY (Anti-HEV), IGG",3000
CT - BRAIN WITHOUT CONTRAST,6000
URINE MICROALBUMIN,612
CARBOXYHEMOGLOBIN,1680
"ASCA (ANTI SACCHAROMYCES CEREVISIAE) ANTIBODY, IgA",5940
VITAMIN A,5508
"COBALT, 24-HOUR URINE",4200
ABSOLUTE NEUTROPHIL COUNT,372
COAGULATION SCREEN,1152
HBsAg - ELISA,960
FREE LIGHT CHAIN KAPPA / LAMDA - SERUM,10200
24 Hrs URINE VANILLYLMANDELIC ACID,4680
"CANNABINOIDS SCREEN, URINE",1020
STEROID PANEL FOR PREMATURE ADRENARCHE,5400
UNBOUND IRON BINDING CAPACITY - UIBC,540
ABSOLUTE MONOCYTE COUNT,372
TOTAL URINE VOLUME,600
"CHRONIC LYMPHOCYTIC LEUKEMIA (CLL), MUTATIONS DETECTION PANEL 1",23280
"CULTURED AFB ANTITUBERCULAR DST, RIFAMPICIN",3360
ULTRASONOGRAM - ANOMALY SCAN,2000
ANTI HAV TOTAL,3600
"PRE-ECLAMPSIA PREDICTION PANEL (PLGF, SFLT, SFLT-1/PLGF RATIO)",3840
FREE TESTOSTERONE,2160
HYDROXYPROLINE,1800
RETICULOCYTE COUNT,200
"HEPATITIS C VIRAL (HCV RNA), QUANTITATIVE, ULTRA",4896
"SEMEN FRUCTOSE, QUALITATIVE",900
VON WILLEBRAND FACTOR RISTOCETIN COFACTOR ACTIVITY,12840
TOXOPLASMA - IgM,840
"BLOOD GROUP, ABO AND RH TYPING AUTOMATED",300
C3 AND C4 COMPLEMENT PANEL,1860
C-PEPTIDE - FASTING,1968
CULTURE AND SENSITIVITY - WATER,500
UREA NITROGEN,200
VLDL,150
MRI - CERVICAL SPINE WITH SHOULDER SCREENING,9600
CMV - IgG,1104
TOTAL IRON BINDING CAPACITY - TIBC,612
POST PRANDIAL BLOOD SUGAR-PPBS,50
BIOPSY MEDIUM - 2,1400
ANTI-MYELOPEROXIDASE ANTIBODY,2520
"ALKAPTONURIA, URINE, QUANTITATIVE",5100
BMD - SPINE AND HIP,2400
ATYPICAL ANCA,2520
PLATELET TO LARGE CELL RATIO - PLCR,1080
CPK,720
"THALLIUM, BLOOD",5220
BETA2 MICROGLOBULIN - URINE,3060
MEASLES ANTIBODY - IgG,4200
HAEMATOCRIT - HCT,180
GASTRIN,1800
QUALITATIVE RT - PCR - COVID 19 (SARS - COV 2),1200
"COPPER, RANDOM URINE",2520
PERNICIOUS ANEMIA PANEL,1440
BUN/CREATININE RATIO,400
ULTRASOUND - ABDOMEN WITH TVS,2000
Anti Thyroglobulin Antibody (ATG),2800
HEPARIN ANTI FACTOR Xa ASSAY,12420
ABSOLUTE LYMPHOCYTE COUNT,300
"URINE, DYSMORPHIC RBCURINE, DYSMORPHIC RBC",540
17-HYDROXYCORTICOSTEROIDS  24 HOUR URINE,1800
"PARVOVIRUS B19 ANTIBODY, IgG,",6480
HEMOPHILIA A CARRIER DETECTIO,3000
GRAM STAIN - PUS,420
ALKALINE PHOSPHATASE,200
BIOPSY SMALL - 2,900
HEPATITIS B SURFACE ANTIGEN (HBsAg) CONFIRMATION,960
CALCITONIN STIMULATION BY CALCIUM - PENTAGASTRIN,17400
BLOOD GROUP ABO AND Rh TYPING,150
ADIPONECTIN,4800
MRI - RIGHT KNEE,6000
DOPPLER STUDY - CAROTID,2200
"HCG,BETA,TOTAL, PREGNANCY, SERUM",1560
PROTHROMBIN TIME - PT INR,500
"HELICOBACTER PYLORI ANTIGEN, RAPID STOO",4797.6
MUCOPOLYSACCHARIDOSIS (MPS) SCREEN,1500
ANTI HCV RAPID,500
NPM1 GENE MUTATION,6600
N-TELOPEPTIDE,6000
CULTURE AND SENSITIVITY - SPUTUM,600
"CARDIOLIPIN ANTIBODY, IgA ,SERUM",2520
"HELICOBACTER PYLORI, IgA",2448
STONE ANALYSIS,1968
GLYCOPROTEIN A-SUBUNIT,10200
CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) MUTATIONS DETECTION PANEL 2,23280
CD3/CD4/CD8 COUNT PROFILE,3240
BETA hCG,1350
ANTI-F-ACTIN ANTIBODIES,3840
URINE PREGNANCY,150
"CHIMERISM, POST-ENGRAFTMENT",7440
"AFB IDENTIFICATION, RAPID PNB TEST",1800
FILARIA ANTIBODY IgG,1836
"H3N2 And INFLUENZA B QUALITATIVE, PCR",4200
"CYTOMEGALOVIRUS (CMV) ANTIBODY, IgG",11160
"SMOOTH MUSCLE ANTIBODY (ASMA), IFA IN DILUTIONS",1968
DOPPLER STUDY - SINGLE LOWER LIMB ARTERIES,2200
BETA 2 GLYCOPROTEIN I - IgM,1500
MRI - FISTULOGRAM  / PERINEUM,6000
C-ANCA,2520
SODIUM,180
MRI - CERVICAL SPINE  WITH WHOLE SPINE SCREENING,9600
REPTILASE TIME,1080
AMYLASE - URINE,600
GLUCOSE CHALLENGE TEST (GCT) After  75g GLUCOSE,350
CARDIO C-REACTIVE PROTEIN (hsCRP),1180
HAPTOGLOBIN,3924
ULTRASONOGRAM - SCROTUM,2200
"CULTURED AFB ANTITUBERCULAR DST, ETHIONAMIDE",600
pH - URINE,120
AST/ALT RATIO,240
BIOPSY SMALL - 1,960
"EGFR, MUTATIONAL ANALYSIS",15000
"BIOFIRE GI (GASTROINTESTINAL PANEL),STOOL",26040
CT - CHEST / THORAX,4800
"HEPATITIS Be PANEL,",4560
MRI - BRAIN WITH MRA,9600
CULTURE AND SENSITIVITY - TISSUE FUNGAL,1620
"CULTURE ESBL (EXTENDED SPECTRUM BETA-LACTAMASE), SCREENING",1620
POTASSIUM,180
"Anti-MOG (MYELIN OLIGODENDROCYTE GLYCOPROTEIN) ANTIBODY, CSF",6636
CALR MUTATION DETECTION,5880
KARYOTYPING,3360
MRI - BRAIN WITH MRV,9600
FNAC,1800
CULTURED FUNGUS IDENTIFICATION,600
DENGUE - IgM - ELISA,2040
ANTI PARIETAL CELLS ANTIBODY,2110.8
CT - LIMBS WITH CONTRAST INCLUDING  CT ANGIOGRAPHY,12000
APOLIPOPROTEIN - B,600
AMPHETAMINE SCREEN,1476
GRAMSTAIN - BODY FLUID,600
CRYOGLOBULINS QUALITATIVE TEST,1320
"CHROMIUM, 24-HOUR URINE",4896
MRI - SPINE SCREENING WITHOUT CONTRAST,6000
CD34 enumeration,2280
"BILIRUBIN, FLUID",312
MYOGLOBIN - URINE,1306.8
CT - WHOLE ABDOMEN WITH CONTRAST,7200
ANTIMITOCHONDRIAL ANTIBODIES,2700
MRI - DORSAL SPINE WITH WHOLE SPINE SCREENING,9600
INDIRECT COOMBS TEST - ICT,960
CT - LIMBS WITHOUT CONTRAST,6000
HAND WITH WRIST LAT VIEW,420
ALBUMIN/CREATININE RATIO,720
ANTI DIURETIC HORMONE - VASOPRESSIN,6120
FECAL FAT,1080
"CITRATE, 24-HOUR URINE",2448
ANTI-MAG,5472
FIBRINOGEN,1476
NAFLD FIBROSIS SCORE,1320
PLATELETCRIT,240
CHIMERISM SPLIT CELL ANALYSIS,7440
ANTIBODIES TO DOUBLE-STRANDED DNA,2640
AMMONIA,1224
CT - ANGIOGRAPHY CHEST,10200
"BETA 2 GLYCOPROTEIN 1 PANEL, IgG, IgM, IgA",7560
"CHIMERISM, PRE-ENGRAFTMENT",7440
FAECAL CALPROTECTIN - STOOL,4896
ERYTHROCYTE SEDIMENTATION RATE - ESR,150
MRI - RIGHT FOOT,6000
ANTICARDIOLIPIN ANTIBODIES IgG and IgM,2160
LIPOPROTEIN - a,600
"PARVOVIRUS B19 ANTIBODIES PANEL, IgG - IgM",3120
MEAN PLATELET VOLUME - MPV,180
CERULOPLASMIN - COPPER OXIDE,1836
ANTI-D NASE,2400
MRI - CERVICAL/CERVICO DORSAL SPINE WITHOUT CONTRAST,10200
BETA 2 GLYCOPROTEIN I - IgG,1500
ALDOSTERONE - 24 HRS URINE,4284
FECAL SODIUM,660
PLATELET COUNT,150
"C. DIFFICILE TOXIN A AND B, STOOL",4500
DIRECT COOMBS TEST - DCT,480
"5-HYDROXY INDOLE ACETIC ACID (5-HIAA), RANDOM URINE",4200
FACTOR V,6120
"PLATELET COUNT, FLUORESCENT",240
IMMUNOGLOBULIN PROFILE,3060
"CORTISOL, SERUM (MORNING SAMPLE)",700
"LACTATE, CSF",612
COPPER - URINE,2448
"17-HYDROXYPROGESTERONE (17-OHP), NEWBORN SCREEN CAH SCREEN",1800
ANTI CCP,2100
LEIGH SYNDROME MITOCHONDRIAL MUTATION DETECTION,9000
MRI - ANKLE ( RIGHT / LEFT ),12000
CPK - MB,612
CIRCULATING IMMUNE COMPLEXES (CIC),4284
MRI - ORBIT WITH CONTRAST,9600
INSULIN RESISTANCE - HOMA-IR,1300
"BNP B-TYPE NATRIURETIC PEPTIDE, PLASMA",3924
"PHOSPHATIDYLSERINE ANTIBODY, IgG",1260
"HEPATITIS C VIRAL (HCV RNA), GENOTYPE",9792
"ALKAPTONURIA, URINE, QUALITATIVE",1098
"COOMBS TEST, INDIRECT",480
INSULIN-LIKE GROWTH FACTOR 1 - (IGF-1),5280
FACTOR V LEIDEN MUTATION ANALYSIS,7956
NEUTROPHIL TO LYMPHOCYTE RATIO,240
ANTIBODY TO SS-A/Ro,3360
ANTI THYROID ANTIBODIES PANEL,3240
BLOOD CULTURE AND SENSITIVITY - LEFT(Aerobic),1900
LEPTOSPIRA - IgG,1440
CULTURE AND SENSITIVITY - ASCITIC FLUID,500
ESTRIOL - BLOOD,1836
25-HYDROXY VITAMIN D,1500
"ASPERGILLUS ANTIBODIES PANEL IgG and IgM, SERUM",39480
BILIRUBIN TOTAL,200
BLEEDING TIME - BT,60
HE4 (HUMAN EPIDIDYMIS PROTEIN 4),2028
24 Hrs URINE OXALATE,3060
CHLAMYDIA TRACHOMATIS - IgM,2448
GRAMSTAIN - CSF,440
"JAK 2 EXON 12, MUTATION DETECTION",8568
MRI - ANKLE SINGLE JOINT WITHOUT CONTRAST,6000
CRYPTOCOCCUS ANTIGEN RAPID,4284
CORTISONE CORTISOL RATIO,3540
HEMOSIDERIN,1836
MRI - LUMBAR SPINE  WITH  WHOLE SPINE SCREENING,7200
"HERPES SIMPLEX VIRUS (HSV) TYPE 2, PCR, QUALITATIVE",3000
P-ANCA,2520
"CHLORIDE, FLUID",372
CATECHOLAMINES - BLOOD,5508
"JAK 2, GENE MUTATION, PCR QUALITATIVE",8568
FECAL UROBILINOGEN,340
HEPATITIS B SURFACE ANTIBODY (Anti-HBs),1440
ESTRADIOL - 3rd GENERATION,1800
CT - TRIPLE PHASE ABDOMEN,6000
"CHLAMYDIA ANTIGEN,RAPID",2448
MRI - DORSAL SPINE / THORACIC SPINE,6000
MRI - KNEE BOTH JOINT WITHOUT CONTRAST,12000
GLUCOMETER BLOOD GLUCOSE,60
ARTERIAL BLOOD GAS STUDIES-ABGS,1600
ENHANCED LIVER FIBROSIS (ELF) PANEL,24000
"KIDNEY STONE FORMATION, THERAPEUTIC MONITORING PANEL",1560
"C1 ESTERASE INHIBITOR, PROTEIN QUANTITATION,C1 INHIBITOR, QUANTITATIVE",4284
CPK ISOENZYME ELECTROPHORESIS,10320
"ANTI A TITRE, IgM",1320
"CHROMIUM, RANDOM URINE",4896
BIOPSY LARGE - 1,1800
ANTI NUCLEAR ANTIBODY (ANA SCREENING),1400
"GENEXPERT ULTRA (NEXT GENERATION) MTB WITH RIFAMPICIN RESISTANCE, SEMI QUANTITATIVE",2640
CT - ABDOMEN WITH PELVIS,7200
MRI - ABDOMEN,8400
MANTOUX TEST,200
ESTIMATED GLOMERULAR FILTRATION RATE - eGFR,420
"ECHINOCOCCUS (HYDATID SEROLOGY) IgG, SERUM",3060
DOPPLER STUDY - SINGLE UPPER LIMB ARTERIES,2200
COMPLEMENT  C3,1560
"ISLET CELL ANTIBODY, IN DILUTIONS",4896
ANTI MULLERIAN HORMONE - AMH,2100
"COOMBS TEST, DIRECT",480
GRAM STAIN - ASPIRATION FLUID,240
DENGUE  - RAPID,850
BILIRUBIN INDIRECT,120
ALDOSTERONE / PLASMA RENIN (DIRECT) RATIO,7200
BENCE JONES PROTEIN - BJP,360
"ASPERGILLUS ANTIBODY IgG, SERUM",3312
ALBUMIN - FLUID,240
ANTI HBe,1800
FECAL WEIGHT,420
HEPATITIS B,400
FASTING BLOOD SUGAR-FBS,50
"CULTURE, AEROBIC, EAR SWAB",500
URINE CULTURE (VITEK),2000
BIOFIRE PNEUMOINIA PLUS PANEL,7800
"LEAD, RANDOM URINE",4320
ADAMTS13 ACTIVITY,25920
"ANTI B TITRE, IgG",1320
AFB - PUS,240
HEPARIN-PF4 ANTIBODY,15480
EUGLOBULIN CLOT LYSIS TIME,600
APO B - APO A1 RATIO,1200
"ANTI NMO (NEUROMYELITIS OPTICA) PANEL, CSF",9480
BICARBONATE,612
DOPPLER STUDY - RENAL ARTERY,2200
5 FLUOROURACIL TOXICITY (DPD GENE MUTATION),9120
ADENOSINE DEAMINASE - ASCITIC FLUID,1200
ANTI PHOSPHOLIPID ANTIBODY - IgM,1476
COAGULATION FACTORS,1020
CULTURE AND SENSITIVITY - SYNOVIAL FLUID,500
"CYTOMEGALOVIRUS (CMV), DNA, QUANTITATIVE, PCR",11160
"AUTOIMMUNE ENCEPHALITIS PANEL, SERUM",26040
5 AMINO LEVULINIC ACID (5-ALA) RANDOM,4896
ANTI GLIADIN ANTIBODY - IgM,3672
HAEMOGLOBIN - HB%,100
"GM2 GANGLIOSIDOSIS, QUANTITATIVE/BLOOD/TAY SACHS AND SANDHOFF DISEASE",24600
PHOSPHOLIPIDS TOTAL,1200
ULTRASONOGRAM - SMALL PARTS,1500
TRYPTASE,2496
GLUCOSE - PLEURAL FLUID,1080
"MAGNESIUM, RANDOM",1836
MUMPS - IgM,3060
STEROID PANEL FOR POLYCYSTIC OVARY SYNDROME (PCOS),3838.8
FREE CORTISOL,960
"SUCCINYLACETONE, URINE",6900
OXYGEN SATURATION,150
PROINSULIN,1240.8
U1-SnRNP,3060
THROMBIN TIME,432
"HEPATITIS B SURFACE ANTIGEN HBsAg, QUANTITATIVE",1440
X-RAY - LUMBOSACRAL SPINE FLEXIN VIEW,350
X-RAY - LEFT HEEL,350
X-RAY - KNEE AP/LATERAL/SKILINE,900
VITAMIN D TOTAL (25-OH) - LCMS,1920
MYOGLOBIN  - SERUM,2520
MRI - BRACHIAL PLEXUS,6000
LACTOSE TOLERANCE TEST,1440
EPINEPHRINE - BLOOD,5508
MRI - SHOULDER WITH CONTRAST,9600
STREPTOCOCCUS GROUP B ANTIGEN DETECTION,1320
MRI - FORE ARM (RIGHT / LEFT),6000
QUINIDINE,2400
PLACENTAL GROWTH FACTOR (PlGF),3000
HEPATIC COPPER,2208
HERPES SIMPLEX VIRUS (HSV) 1 IgG,732
MAGNESIUM,500
PROTEIN CATABOLIC RATE,720
"ELECTROLYTES, SERUM",450
"GALACTOSEMIA SCREENING, BLOOD",16800
MRI - TM JOINT ( TEMPOROMANDIBULAR JOINT),9000
T AND B CELL FLOW CYTOMETRY CROSS MATCH (FCXM),4920
MEAN CORPUSCULAR HAEMOGLOBIN CONCENTRATION - MCHC,120
LDH - CSF,500
PROTEIN C,5508
MRI - DORSAL/DORSO LUMBAR SPINE WITH CONTRAST,9600
HERPES SIMPLEX VIRUS (HSV) 1 2 IgM,3000
MRI - RIGHT WRIST,6000
"LACTATE, ARTERIAL",1836
EPINEPHRINE - URINE,4284
MALARIAL  PARASITE - MP BY QBC,250
p-ANCA ANTI MYELOPEROXIDASE (MPO) ANTIBODIES,2820
MRI - BRAIN,5000
LDL / HDL RATIO,180
ULTRASONOGRAM - THYROID,1400
PROLACTIN,600
X-RAY - CHEST LAT VIEW,350
HERPES SIMPLEX VIRUS 1&2 - IgM,1440
"HCG BETA TOTAL QUANTITATIVE, RANDOM",1620
MICRO ALBUMIN CREATININE RATIO,744
HSV  I - IgG,3000
NOCARDIA STAIN,312
"HLA MIXED ANTIBODY SCREEN - PRA CLASS I, II AND MICA",14400
LEPTIN,7344
NEUTROPHIL GELATINASE ASSOCIATED LIPOCALIN - NGAL,2820
DIFFERENTIAL COUNT,150
LUPUS ANTICOAGULANT,3924
HCV RNA QUANTIFICATION,6720
IODINE,600
MRI - MR ANGIOGRAPHY,9600
"HEMOGLOBIN, FREE",312
"CULTURE, AEROBIC, MISCELLANEOUS WITH GRAM STAIN",1320
FERRITIN,1200
HCV GENOTYPING,9792
HB ELECTROPHORESIS,1400
IMMUNOHISTOCHEMISTRY - IHC,9792
"BIOPSY, EXTERA LARGE SPECIMEN",2400
D-DIMER,1800
FREE THYROXINE INDEX - FTI,840
"HEPATITIS E ANTIBODY (Anti-HEV), IGM",2040
GRAMSTAIN - SPUTUM,340
"CYTOMEGALOVIRUS (CMV) AVIDITY, IgG",1104
CT - PARA NASAL SINUSES WITHOUT CONTRAST,4800
CT - TEMPORAL BONE,4800
"CULTURE,AEROBIC,BRONCHOALVEOLAR LAVAGE(BAL)",1296
"HEPATITIS E ANTIBODY ( Anti-HEV), IgM",3060
FEBRILE AGGLUTININS PANEL,1560
ZINC,2960
CT - PULMONARY ANGIO WITH CONTRAST,10200
FECAL pH,240
CRYSTALS - SYNOVIAL FLUID,492
2D ECHOCARDIOGRAM,1600
CHOLINESTERASE,1224
ECHINOCOCCUS DETECTION FOR SCOLICES IN HYDATID CYST FLUID,780
X-RAY - SHOULDER AP VIEW,350
X-RAY - PELVIS LATERAL VIEW,350
MALARIAL  PARASITE - MP BY CARD,250
TOTAL CHOLESTEROL,190
X-RAY - DORSAL SPINE LAT,350
INHIBIN A,1400
THYROID STIMULATING IMMUNOGLOBULIN - TSI,4896
TRIPLE MARKER - SECOND TRIMESTER TEST,3672
CHIMERISM SPLIT CELL ANALYSIS - MYELOID CELL (CD15),13680
TROPONIN T LEVEL,1800
X-RAY - BOTH KNEE AP/LAT,900
STOOL ROUTINE,150
PROSTATIC ACID PHOSPHATASE,600
HOMA IR Insulin Resistance Index,1200
REVERSE T3 - rRT3,600
WIDAL - TUBE AGGLUTINATION,612
TISSUE TRANSGLUTAMINASE ANTIBODY IgA,4284
Anti Microsomal Antibody(Anti Thyroperoxidase antibody)AMA,2700
SODIUM RANDOM URINE,480
X-RAY - BOTH KNEE AP,500
"STRIATED / SKELETAL MUSCLE ANTIBODY, IFA IN DILUTIONS",4560
BETA CELL FUNCTION,1560
"PARVOVIRUS B19, QUALITATIVE PCR",3360
ARSENIC 24-HOUR URINE,3600
SSB/La ANTIBODY SERUM,2268
PARATHYROID HORMONE - PTH,2448
"ASCA (ANTI SACCHAROMYCES CEREVISIAE) ANTIBODY, IgG",3672
PARTIAL THROMBOPLASTIN TIME-LUPUS ANTICOAGULANT SPECIFIC (PTT-LA),3732
"PORPHOBILINOGEN (PBG), QUALITATIVE",4896
X-RAY - CHEST AP VIEW,350
"STEROID PANEL 2, 8 STEROIDS",6000
X-RAY - OPG,600
X-RAY - NECK AP LAT,500
PREGNANETRIOL,804
X-RAY - LEG AP VIEW,350
MRI - THIGH / FEMUR (RIGHT / LEFT ),12000
AMYLASE - SERUM,500
ANTI CARDIOLIPIN ANTIBODY - IgM,1500
ULTRASOUND - KUB,1400
TESTOSTERONE,950
HEPATITIS B IMMUNITY SCREEN,3000
ONCOPRO EGFR ARMS PCR,9120
"OLIGOCLONAL BANDS IgG, CSF",6120
MRI - PNS,6600
PLATELET DISTRIBUTION WIDTH - SD,150
SICKLE CELL ANEMIA MUTATION DETECTION,300
ADENOSINE DEAMINASE - CSF (ADA),1158
TB - IgA,756
X-RAY - FOOT AP / LAT VIEW,500
RED CELL DISTRIBUTION WITH CV,320
X-RAY - ABDOMEN,350
TISSUE TRANSGLUTAMINASE ANTIBODY IgG,4284
RED CELL MASS - RCM,990
MRI - LEFT KNEE,6000
URINE PROTEIN - SPOT,180
MRI - LUMBAR SPINE WITH KNEE SCREENING,10200
"STEROID PANEL L 2,9 STEROIDS",6000
MRI - LEFT SHOULDER WIHTOUT CONTRAST,6000
"NMDA RECEPTOR / ANTI-GLUTAMATE ANTIBODY, CSF",9120
SMEAR FOR GONOCOCCI,600
AMINO ACIDS - URINE,4896
DENGUE - IgG - RAPID,800
PHOSPHOROUS,380
PROCALCITONIN,1700
"ROTAVIRUS ANTIGEN, STOOL",3000
UREA - URINE,480
METANEPHRINE - URINE,3960
"NRAS MUTATION, CODON 12, 13 , 6",8040
MRI - EXTREMITIES WITH CONTRAST,9600
MRI - ELBOW (RIGHT / LEFT),9600
"SELENIUM, RANDOM URINE",6120
PROTEIN - BODY FLUID,460
CULTURE AND SENSITIVITY - CSF,500
MUMPS - IgG,3060
MRI - RIGHT HIP JOINT,6000
CD4 T-LYMPHOCYTE COUNT,1546.8
PULMONARY FUNCTION TEST - PFT,1000
URIC ACID,180
SGPT - ALT,150
PROSTATE SPECIFIC ANTIGEN - PSA,1080
MRI - BOTH LEG,10800
MRI - ANGIOGRAPHY,9690
BILIRUBIN DIRECT,150
MRI - BOTH SHOULDER,8400
"HEPATITIS B CORE ANTIBODY (Anti-HBc), IgM",1440
ULTRASOUND - GUIDED FNAC,2400
"METANEPHRINES, 24-HOUR URINE",5400
CYFRA 21-1 LUNG CANCER MARKER,6120
APOLIPOPROTEIN - A1,600
GROWTH HORMONE,1080
SERUM FOLATE,1440
GLUCOSE-6 PHOSPHATE DEHYDROGENASE,1020
ULTRASONOUND - OBSTETRICS / ANTENATAL,1600
X-RAY - CHEST PA VIEW,350
UROBILONOGEN,280
THROMBOTIC RISK SCREEN,360
SEMEN ANALYSIS,300
CULTURE AND SENSITIVITY- VAGINAL SWAB,500
SODIUM OSMOLALITY RATIO,960
TYPHIDOT IgG  IgM,1440
"NICKEL, 24-HOUR URINE",6120
IMMATURE PLATELET FRACTION,864
MRI - KNEE SINGLE JOINT WITHOUT CONTRAST,6000
ULTRASONOGRAM - NECK,1400
SLE (SYSTEMIC LUPUS ERYTHEMATOSUS) PANEL,620
X-RAY - C SPINE LAT VIEW,350
SPECIFIC GRAVITY,180
MRI - WHOLE SPINE,6000
PREALBUMIN - SERUM,4920
MRI - SHOULDER WITHOUT CONTRAST,9600
"VITAMIN D3 1,25-DIHYDROXYVITAMIN",3500
PLATELET FUNCTION ANALYSIS (PFA-100),180
SARS-COV-2 (COVID-19) NEUTRALIZING ANTIBODY,1440
MRI - BRAIN WITH PNS SCREENING,9000
THYROID STIMULATING HORMONE - TSH,250
Truenat COVID-19 RNA Semi Quantitative real time PCR,1200
ULTRASONOUND - BREAST,1600
QUANTIFERON - TB GOLD,3480
"PHOSPHOLIPID ANTIBODIES PANEL, IgG ANDIgM",1200
MRI - STERNOCLAVICULAR JOINT / STERNUM,6000
FOLIC ACID,1200
X-RAY - RIGHT HEEL,350
GRAM STAIN - URINE,372
NON HDL CHOLESTEROL,180
PIIINP (PROCOLLAGEN TYPE III AMINO TERMINAL PROPEPTIDE,5160
SMEAR FOR MF,250
MRI - ABDOMEN WITH PELVIS,16800
"VANCOMYCIN RESISTANT ENTEROCOCCI (VRE) , SCREENING",8568
MRI - BRAIN WITH ORBIT,7200
ALBUMIN - URINE,180
X-RAY - DORSAL SPINE AP / LAT,500
PROTEIN - CREATININE RATIO,480
DOPAMINE - URINE,4284
X-RAY - LS SPINE AP/lAT VIEW,500
TOTAL RBC COUNT,120
MRI -  BRAIN WITH EPILEPSY PROTOCOL,9600
HERPES SIMPLEX VIRUS (HSV) 2 IgG,5508
MRI - LEFT FOOT,6000
TMT,1600
PYRUVIC ACID,4284
ULTRASOUND - ABDOMEN WITH PELVIS,1400
WIDAL - SLIDE AGGLUTINATION,200
X-RAY - ELBOW LATERAL VIEW,350
VISCOSITY,6600
LIPASE - BODY FLUID,960
GLUCOSE-KETONE INDEX - GKI,14340
X-RAY - CERVICAL SPINE AP / LAT,500
MRI - HIP WITHOUT CONTRAST,9600
MRI - FINGER / TOES / EXTRIMITIES,6000
PHOSPHOLIPASE A2 RECEPTOR ANTIBODY (PLA2R) QUALITATIVE,6120
PACKED CELL VOLUME - PCV,150
